prompt_index,prompt,rank,event_id,title,category,date,start_time,venue,neighborhood,why
1,"I want to watch a movie outdoors tonight",1,142d640b-38fe-e9f6-9739-a72f29f0d4c5,"Inception (Rooftop Cinema)","Film & cinema",2026-07-26,19:30,"Rooftop Cinema Club Midtown","Midtown (west of Bryant Park)","Open-air rooftop screening of Inception on Mon 7/26 night — classic outdoor-movie vibe on a rooftop."
1,"I want to watch a movie outdoors tonight",2,2b23d490-edd1-4a4f-2e00-ce70dc60689a,"Movies Under the Stars: The Bad Guys 2 (2025)","Movies Under the Stars",2026-07-26,20:45,"Evergreen Park","Evergreen (Brooklyn)","Movies Under the Stars: The Bad Guys 2 at Evergreen Park on 7/26 is a free outdoor park screening tonight (dusk), matching your request for an outdoor movie."
1,"I want to watch a movie outdoors tonight",3,c684d95d-b726-2b01-8a46-f9a0e20f2035,"Obsession (Rooftop Cinema)","Film & cinema",2026-07-26,22:45,"Rooftop Cinema Club Midtown","Astoria (Queens)","de palma: summer of suspense is a film series at a museum (indoor) starting 7/26 — perfect if you prefer a film program with seats and AC."
1,"I want to watch a movie outdoors tonight",4,35e42701-0e60-7c96-f2ae-df55a809efdd,"Bryant Park Movie Nights","Free Summer Movies",2026-07-27,17:00,"Bryant Park","Bryant Park / Midtown","Bryant Park Movie Nights screens The Truman Show on Mon 7/27 at dusk — iconic, large outdoor lawn screening in Midtown."
1,"I want to watch a movie outdoors tonight",5,46240cc1-8f8c-3aff-157c-2553cbb7b95b,"The Sandlot (Rooftop Cinema)","Film & cinema",2026-07-27,17:00,"Rooftop Cinema Club Midtown","Midtown (west of Bryant Park)","Rooftop screening of The Sandlot on 7/27 offers an open-air rooftop movie experience."
1,"I want to watch a movie outdoors tonight",6,499984ba-56ac-5503-06a9-8c720ab3a0b5,"Paramount+ Movie Nights","Film & cinema",2026-07-27,20:00,"Bryant Park","Bryant Park / Midtown","Paramount+ Movie Nights at Bryant Park on 7/27 is a large, classic outdoor lawn screening starting at dusk."
2,"I'm looking for yoga or meditation classes",1,402be7ed-ee8b-63b4-9651-4cdf16040076,"Zumba Gold&#174;","Exercise Classes",2026-07-27,09:15,"","Bronx (New Settlement Community Center)","Low-impact, accessible movement class (Zumba Gold) if you want gentle, rhythmic exercise as a softer alternative to yoga."
2,"I'm looking for yoga or meditation classes",2,6a363939-74a8-200b-7463-6021a9cc1f55,"Yoga","Yoga & Pilates Classes",2026-07-27,10:00,"","Brooklyn (Gerritsen Beach)","Mid-intensity Vinyasa-style flow focused on breath-to-movement—good if you want a regular yoga flow outdoors."
2,"I'm looking for yoga or meditation classes",3,61c4d442-2554-69a8-11e2-8674f73ced9d,"Gentle Yoga","Yoga & Pilates Classes",2026-07-27,11:30,"","Queens (Bayside)","A therapeutic gentle yoga class with guided relaxation—ideal if you want a restorative practice."
2,"I'm looking for yoga or meditation classes",4,a8db2c6c-4fe1-0b53-bc54-e765ebb34360,"Chair Yoga","Yoga & Pilates Classes",2026-07-27,17:00,"","Bronx (Eastchester)","Chair Yoga offers gentle, seated movement and breathwork for an accessible, low-impact session."
2,"I'm looking for yoga or meditation classes",5,af04f44d-3400-db4d-1626-5a4b0a9fb82b,"Yoga","Exercise Classes",2026-07-27,18:15,"Crocheron Park","Queens (Crocheron Park / Bayside area)","Mid-intensity flow emphasizing inversions and breath work if you want a more dynamic practice outdoors."
2,"I'm looking for yoga or meditation classes",6,b275671e-2952-8c41-4f03-e4fd82eee267,"Virtual Yoga","Yoga & Pilates Classes",2026-07-27,19:30,"","Virtual","Virtual Vinyasa flow you can join from home if you prefer an at-home practice or it rains."
2,"I'm looking for yoga or meditation classes",7,eb9e821c-f090-183f-408c-fa98250c7e6a,"Tai Chi","Yoga & wellness",2026-07-28,07:30,"Bryant Park","Midtown (Bryant Park)","Tai Chi is a gentle moving-meditation alternative if you want mindful, meditative movement."
